Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C13, C4, C6",0805,4,10uF,
"C10, C8",1206,2,22uF,
"C11, C19, C2, C7",0805,4,1uF,
"C12, C14, C17, C20, C21, C22, C23, C24, C5",0603,9,100nF,
"C15, C16",0402,2,20pF,
C18,0805,1,2.2uF Low ESR,
"C25, C26",1812,2,10nF 250V,
"C27, C28, C35",0603,3,1uF X7R,
"C29, C30, C31, C32, C36, C37",0805,6,100nF,
C3,CAPAE830X730N,1,10uF,
"C33, C34, C38",0603,3,10uF,
C9,C_Elec_6.3x5.8,1,47uF,
"D1, D14, D15, D2, D3, D4, D8, D9",0603,8,RED,
"D10, D11, D12, D13",D_SOD-123,4,1N5819HW-7-F,
D5,0603,1,GRN,
"D6, D7",TO-220-3_Vertical,2,T2035T-8G-RT,
F1,Fuseholder_Clip-5x20mm_Littelfuse_100_Inline_P20.50x4.60mm_D1.30mm_Horizontal,1,1A,
"F2, F3",Fuseholder_Clip-6.3x32mm_Littelfuse_122_Inline_P34.21x7.62mm_D2.54mm_Horizontal,2,10A,
F4,Fuseholder_Clip-5x20mm_Littelfuse_100_Inline_P20.50x4.60mm_D1.30mm_Horizontal,1,3A,
"HS1, HS2",53002B02500G,2,530002B02500G,
"J1, J2, J3",SPTA-THR 2.53-5.0 P26,3,1366005,
J10,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
J11,JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical,1,Conn_01x07,
"J12, J13",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,2,Conn_01x04,
J15,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
J16,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Conn_01x02,
J17,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
"J4, J5, J6",CONN_4DB-P108-02_TEC,3,4DB-P108-02,
"J7, J8, J9",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,3,Conn_01x02,
"JP1, JP2, JP3, JP4",PinHeader_1x02_P2.54mm_Vertical,4,Jumper_2_Open,
"JP5, JP6, JP7, JP8, JP9",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,5,Jumper_2_Open,
K1,Relay_SPDT_Finder_36.11,1,Relay_SPDT,
L1,1008,1,2.2uH,
PS1,IRM-30_MWU,1,IRM-30-12,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7",SOT-23,7,IRLML6244TRPBF,
"R1, R10, R22, R23, R4, R5, R51, R52, R53, R54, R57, R9",0603,12,10k,
"R11, R18, R19, R2, R50, R58, R8",0603,7,220,
"R12, R13",2512,2,39,
"R14, R15, R16, R17",2512,4,330,
"R20, R21, R24, R25, R6",0603,5,330,
"R26, R27, R28, R29, R40, R41",0603,6,100k,
R3,0603,1,52.3k,
"R30, R32, R42",0603,3,560,
"R31, R33, R43",Potentiometer_Bourns_TC33X_Vertical,3,TC33X-2-102E,
"R34, R35, R44",0603,3,280k,
"R36, R37, R45",Potentiometer_Bourns_TC33X_Vertical,3,TC33X-2-104E,
"R38, R39, R46, R47, R48, R49, R55, R56, R59",0603,9,1k,
R7,0603,1,1.2k,
RV1,TMOV20RP150E,1,TMOV20RP150E,
SW1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,SW_SPST,
SW2,PinHeader_1x03_P2.54mm_Vertical,1,SW_SPDT,
SW3,SW_PUSH_6mm_H4.3mm,1,SW_Push,
"TP1, TP2, TP3, TP4",TestPoint_Pad_4.0x4.0mm,4,TestPoint,
"TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP5, TP6, TP7, TP8, TP9",TestPoint_Keystone_5019_Miniature,12,TestPoint,
"U1, U3",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP1727T-3302E/SN,
"U10, U11, U13",TO-92_Inline,3,DS18B20+,
"U12, U8, U9",SOIC-8_3.9x4.9mm_P1.27mm,3,OPA333AIDCKT,
"U14, U15",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,DS18B20+,
U2,TSOT-23-6_HandSoldering,1,AP62250WU,
U4,LQFP-64_10x10mm_P0.5mm,1,STM32F401RETx,
"U6, U7",SMDIP-6_W9.53mm,2,MOC3083S-TA1,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ATS240C-E,
