Designator,Mid X,Mid Y,Rotation,Layer
BZ1,103.75000023149111,-19.000000231491118,135.0,top
C1,45.0,-19.25,270.0,top
C10,25.0,-9.35,270.0,top
C11,18.8875,6.5,0.0,top
C12,18.8875,4.0,0.0,top
C13,133.75,41.25,0.0,top
C14,106.0,6.75,270.0,top
C15,105.25,-0.075,90.0,top
C16,105.25,2.425,270.0,top
C17,129.75,9.75,180.0,top
C18,95.25,13.325,90.0,top
C19,85.25,-2.0,270.0,top
C2,49.5,-23.25,180.0,top
C20,104.25,-3.425,225.0,top
C21,92.25,12.325,0.0,top
C22,100.5,-5.925,180.0,top
C23,87.5,-2.0,270.0,top
C24,100.25,12.325,0.0,top
C25,-9.75,52.75,270.0,top
C26,49.0,40.25,135.0,top
C27,98.377499,69.314001,180.0,top
C28,123.877499,63.25,180.0,top
C29,108.377499,63.814001,270.0,top
C3,24.25,-18.1,90.0,top
C30,133.877499,57.75,270.0,top
C31,104.877499,72.314001,0.0,top
C32,130.339999,66.25,180.0,top
C33,96.0,19.0,90.0,top
C34,102.25,18.0,0.0,top
C35,112.637499,39.0,0.0,top
C36,101.1225,34.814001,270.0,top
C37,108.8725,27.314001,0.0,top
C38,106.75,13.0,0.0,top
C4,50.5,-15.0,180.0,top
C5,35.75,-9.35,0.0,top
C6,134.5,29.0,0.0,top
C7,138.5,33.75,270.0,top
C8,27.75,-9.35,270.0,top
C9,6.0,5.75,0.0,top
D1,59.0,-18.25,0.0,top
D10,-74.5,-10.0,180.0,top
D11,10.0,-5.25,90.0,top
D12,11.75,-14.5,270.0,top
D13,-67.75,21.25,180.0,top
D14,79.75,-11.75,0.0,top
D15,-74.25,14.25,0.0,top
D2,33.75,-2.95,180.0,top
D3,22.25,9.25,90.0,top
D4,129.75,44.75,180.0,top
D5,79.75,-7.75,0.0,top
D6,-3.942544,38.183261,180.0,top
D7,44.5,59.2,180.0,top
D8,40.75,13.0,180.0,top
D9,57.0,13.0,180.0,top
F1,-49.5,78.0,90.0,top
F2,10.75,68.355,90.0,top
F3,75.25,69.5,90.0,top
F4,-61.0,57.5,90.0,top
H1,-75.5,89.25,0.0,top
H2,-75.5,-23.3715,0.0,top
H3,33.75,17.0,0.0,top
H4,81.0,42.0,0.0,top
H5,140.25,89.25,0.0,top
H6,140.25,-23.25,0.0,top
HS1,-3.942544,33.483261,0.0,top
HS2,44.5,54.5,0.0,top
J1,-31.75,66.5,180.0,top
J10,65.0,-17.479999,180.0,top
J11,81.5,-21.25,0.0,top
J12,132.75,19.725,180.0,top
J13,117.5,-21.25,0.0,top
J15,132.73,-7.96,0.0,top
J16,-71.495,61.9225,180.0,top
J17,80.0,28.0,0.0,top
J2,-3.75,72.25,180.0,top
J3,60.5,72.25,180.0,top
J4,103.877499,79.25,180.0,top
J5,130.75,73.25,180.0,top
J6,107.1225,43.25,180.0,top
J7,-74.25,-4.0,270.0,top
J8,14.5,-5.0,90.0,top
